Num_Acc,jour,mois,an,hrmn,lum,dep,com,agg,int,atm,col,adr,lat,long,catr,voie,v1,v2,circ,nbv,vosp,prof,pr,pr1,plan,lartpc,larrout,surf,infra,situ,vma,id_vehicule_x,num_veh_x,senc,catv,obs,obsm,choc,manv,motor,occutc,id_usager_x,id_vehicule_y,num_veh_y,place_x,catu_x,grav_x,sexe_x,an_nais_x,trajet_x,secu1_x,secu2_x,secu3_x,locp_x,actp_x,etatp_x,id_usager_y,id_vehicule,num_veh,place_y,catu_y,grav_y,sexe_y,an_nais_y,trajet_y,secu1_y,secu2_y,secu3_y,locp_y,actp_y,etatp_y,id_usager,place,catu,grav,sexe,an_nais,trajet,secu1,secu2,secu3,locp,actp,etatp
202200000342,4.0,5.0,2022.0,09:20,1.0,69,69388,2.0,2.0,1.0,1.0,Rue Florent,45.72743,4.8785,4.0,FLORENT                             (R ),0.0,,1.0,1,0.0,1.0,(1),(1),1.0,, -1,1.0,0.0,1.0,50.0,813 356,B01,1.0,1.0,0.0,2.0,7.0,19.0,5.0,,1 098 885,813 354,A01,1.0,1.0,1.0,1.0,1957.0,0.0,1.0,-1.0,-1.0,-1.0, -1,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202200000342,4.0,5.0,2022.0,09:20,1.0,69,69388,2.0,2.0,1.0,1.0,Rue Florent,45.72743,4.8785,4.0,FLORENT                             (R ),0.0,,1.0,1,0.0,1.0,(1),(1),1.0,, -1,1.0,0.0,1.0,50.0,813 356,B01,1.0,1.0,0.0,2.0,7.0,19.0,5.0,,1 098 887,813 356,B01,1.0,1.0,4.0,1.0,2012.0,0.0,2.0,-1.0,-1.0,-1.0, -1,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202200000668,25.0,3.0,2022.0,00:15,5.0,69,69383,2.0,4.0,1.0,3.0,Rue Général Mouton-Duvernet,45.75084,4.86074,4.0,GENERAL MOUTON DUVERNET (DU)        (R ),0.0,,2.0,3,1.0,1.0,(1),(1),1.0,, -1,1.0,0.0,6.0,30.0,812 787,B01,1.0,1.0,12.0,2.0,8.0,19.0,5.0,,1 098 116,812 787,B01,1.0,1.0,4.0,1.0,1990.0,5.0,8.0,-1.0,-1.0,0.0,0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202200000668,25.0,3.0,2022.0,00:15,5.0,69,69383,2.0,4.0,1.0,3.0,Rue Général Mouton-Duvernet,45.75084,4.86074,4.0,GENERAL MOUTON DUVERNET (DU)        (R ),0.0,,2.0,3,1.0,1.0,(1),(1),1.0,, -1,1.0,0.0,6.0,30.0,812 787,B01,1.0,1.0,12.0,2.0,8.0,19.0,5.0,,1 098 119,812 789,A01,1.0,1.0,4.0,1.0,1983.0,4.0,2.0,6.0,-1.0,0.0,0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202200000672,20.0,10.0,2022.0,06:30,5.0,69,69089,2.0,9.0,2.0,1.0,Route de la Libération,45.733355,4.775861,7.0,342,-1.0,,2.0,2,3.0,2.0,5,400,1.0,, -1,2.0,5.0,1.0,50.0,812 779,A01,3.0,1.0,0.0,2.0,1.0,8.0,5.0,,1 098 106,812 779,A01,1.0,1.0,3.0,1.0,1970.0,1.0,4.0,2.0,-1.0,0.0,0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202200000672,20.0,10.0,2022.0,06:30,5.0,69,69089,2.0,9.0,2.0,1.0,Route de la Libération,45.733355,4.775861,7.0,342,-1.0,,2.0,2,3.0,2.0,5,400,1.0,, -1,2.0,5.0,1.0,50.0,812 779,A01,3.0,1.0,0.0,2.0,1.0,8.0,5.0,,1 098 110,812 781,B01,1.0,1.0,1.0,-1.0,,-1.0,8.0,-1.0,-1.0,-1.0, -1,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202200000819,19.0,10.0,2022.0,10:25,1.0,69,69259,2.0,6.0,1.0,3.0,Rue Pierre Brossolette,45.72855,4.85898,4.0,PIERRE BROSSOLETTE                  (R ),0.0,,1.0,2,0.0,1.0,(1),(1),1.0,, -1,1.0,0.0,6.0,30.0,812 492,B01,3.0,1.0,0.0,2.0,7.0,1.0,0.0,,1 097 749,812 492,B01,1.0,1.0,4.0,2.0,1959.0,0.0,8.0,-1.0,-1.0,0.0,0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202200000819,19.0,10.0,2022.0,10:25,1.0,69,69259,2.0,6.0,1.0,3.0,Rue Pierre Brossolette,45.72855,4.85898,4.0,PIERRE BROSSOLETTE                  (R ),0.0,,1.0,2,0.0,1.0,(1),(1),1.0,, -1,1.0,0.0,6.0,30.0,812 492,B01,3.0,1.0,0.0,2.0,7.0,1.0,0.0,,1 097 755,812 495,A01,1.0,1.0,1.0,1.0,1946.0,0.0,8.0,-1.0,-1.0,0.0,0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202200000944,10.0,10.0,2022.0,12:15,1.0,69,69386,2.0,3.0,1.0,3.0,Boulevard des Belges,45.77007,4.85698,4.0,BELGES (DES)                        (BD),0.0,,2.0,2,3.0,1.0,(1),(1),1.0,, -1,1.0,0.0,1.0,50.0,812 271,B01,2.0,1.0,0.0,2.0,1.0,1.0,0.0,,1 097 450,812 271,B01,1.0,1.0,3.0,1.0,1983.0,0.0,8.0,-1.0,-1.0,0.0,0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202200000944,10.0,10.0,2022.0,12:15,1.0,69,69386,2.0,3.0,1.0,3.0,Boulevard des Belges,45.77007,4.85698,4.0,BELGES (DES)                        (BD),0.0,,2.0,2,3.0,1.0,(1),(1),1.0,, -1,1.0,0.0,1.0,50.0,812 271,B01,2.0,1.0,0.0,2.0,1.0,1.0,0.0,,1 097 452,812 273,A01,1.0,1.0,1.0,1.0,1966.0,0.0,1.0,-1.0,-1.0,0.0,0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202200001758,2.0,5.0,2022.0,08:32,1.0,69,69383,2.0,2.0,1.0,3.0,Boulevard Marius Vivier-Merle,45.7570266536,4.8588162661,4.0,MARIUS VIVIER MERLE                 (BD),0.0,,1.0,3,3.0,1.0,(1),(1),1.0,, -1,1.0,0.0,1.0,50.0,810 827,B01,1.0,1.0,0.0,2.0,1.0,15.0,5.0,,1 095 514,810 827,B01,1.0,1.0,4.0,2.0,1970.0,1.0,2.0,-1.0,-1.0,-1.0, -1,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202200001758,2.0,5.0,2022.0,08:32,1.0,69,69383,2.0,2.0,1.0,3.0,Boulevard Marius Vivier-Merle,45.7570266536,4.8588162661,4.0,MARIUS VIVIER MERLE                 (BD),0.0,,1.0,3,3.0,1.0,(1),(1),1.0,, -1,1.0,0.0,1.0,50.0,810 827,B01,1.0,1.0,0.0,2.0,1.0,15.0,5.0,,1 095 516,810 829,A01,1.0,1.0,1.0,1.0,1995.0,0.0,1.0,-1.0,-1.0,-1.0, -1,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202200001893,23.0,8.0,2022.0,12:30,1.0,69,69266,2.0,2.0,1.0,3.0,Rue Château Gaillard,45.77362,4.88822,4.0,CHATEAU GAILLARD     (Rue de),0.0,,2.0,2,0.0,1.0,(1),(1),1.0,, -1,1.0,0.0,1.0,50.0,810 593,E01,0.0,1.0,0.0,2.0,0.0,0.0,-1.0,,1 095 207,810 590,A01,1.0,1.0,4.0,1.0,2000.0,1.0,2.0,6.0,-1.0,0.0,0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202200001893,23.0,8.0,2022.0,12:30,1.0,69,69266,2.0,2.0,1.0,3.0,Rue Château Gaillard,45.77362,4.88822,4.0,CHATEAU GAILLARD     (Rue de),0.0,,2.0,2,0.0,1.0,(1),(1),1.0,, -1,1.0,0.0,1.0,50.0,810 593,E01,0.0,1.0,0.0,2.0,0.0,0.0,-1.0,,1 095 209,810 593,E01,1.0,1.0,4.0,2.0,1972.0,0.0,8.0,-1.0,-1.0,0.0,0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
